song_title,artist,genre,id,beatmap_id,date_started,date_ended,accuracy,max_combo_player,max_combo_beatmap,is_perfect_combo,passed,max_great,great,ok,meh,miss,ar,cs,bpm,hit_length,count_circles,count_sliders,count_spinners,difficulty_rating,beatmap_type,played_before
Anoko Secret,Eve,Rock,6176870141,1788240,2026-02-07 00:10:01+08:00,2026-02-07 00:11:48+08:00,90.58,320,643,False,True,458,386,63,2.0,7,9.0,4.0,160.0,100,276,180,2,4.81082,Hybrid,True
Anoko Secret,Eve,Rock,6176913489,1788240,2026-02-07 00:18:35+08:00,2026-02-07 00:20:21+08:00,88.97,185,643,False,True,458,377,59,8.0,14,9.0,4.0,160.0,100,276,180,2,4.81082,Hybrid,True
Rubik's Cube,Hatsune Miku,Rock,6176949608,114635,2026-02-07 00:24:38+08:00,2026-02-07 00:27:31+08:00,88.2,93,1027,False,True,717,592,90,3.0,32,9.0,4.0,174.0,151,470,246,1,5.5304,Hybrid,True
Playing With Fire,kors k,Video Game,6177128241,2015158,2026-02-07 01:00:34+08:00,2026-02-07 01:02:20+08:00,89.57,316,617,False,True,402,337,47,9.0,9,9.0,4.0,160.0,93,262,136,4,4.55318,Tech,False
Koi no Hime Hime Pettanko,*namirin,Anime,6177375094,1053519,2026-02-07 01:48:38+08:00,2026-02-07 01:50:15+08:00,95.68,461,502,False,True,356,330,21,3.0,2,9.0,4.0,178.0,92,213,143,0,4.62552,Jump,True
Electric Angel,Giga-P,Electronic,6177513367,417897,2026-02-07 02:14:10+08:00,2026-02-07 02:17:22+08:00,95.61,413,980,False,True,714,668,37,1.0,8,9.0,4.0,150.0,164,485,227,2,4.68965,Hybrid,True
BRAVER,ZAQ,Anime,6180094928,1547748,2026-02-07 12:53:48+08:00,2026-02-07 12:55:21+08:00,91.33,134,596,False,True,416,360,40,3.0,13,9.1,4.0,188.0,87,255,160,1,5.22997,Hybrid,False
Super Nuko World,yuikonnu & ayaponzu*,Rock,6180118427,476149,2026-02-07 12:58:55+08:00,2026-02-07 13:02:37+08:00,97.5,623,1381,False,True,1015,973,36,2.0,4,9.0,4.0,190.0,205,678,336,1,5.21271,Stream,True
Okochama Sensou,yuikonnu & ayaponzu*,Pop,6180132815,859009,2026-02-07 13:03:38+08:00,2026-02-07 13:07:09+08:00,97.01,698,1241,False,True,808,767,32,5.0,4,9.0,4.0,175.0,194,471,337,0,5.118,Hybrid,False
Yume Chizu,yuikonnu,Rock,6180141783,2237467,2026-02-07 13:08:18+08:00,2026-02-07 13:10:00+08:00,96.97,420,522,False,True,358,340,16,,2,9.2,3.8,176.0,97,209,149,0,5.18903,Jump,True
caramel heaven,yuikonnu,Rock,6180162838,827802,2026-02-07 13:12:46+08:00,2026-02-07 13:16:40+08:00,92.25,384,1366,False,True,896,786,84,5.0,21,9.0,4.0,194.0,209,481,414,1,5.48096,Hybrid,False
Future Candy,YUC'e,Electronic,6180175467,1521481,2026-02-07 13:17:29+08:00,2026-02-07 13:20:40+08:00,93.97,342,1218,False,True,755,675,72,2.0,6,9.0,4.0,180.0,173,410,345,0,5.2298,Tech,True
Cinderella Syndrome,YUC'e,Pop,6180190772,1215777,2026-02-07 13:21:34+08:00,2026-02-07 13:25:30+08:00,96.29,300,1427,False,True,856,807,36,3.0,10,9.0,4.0,100.0,218,404,450,2,5.31765,Hybrid,False
Itte.,Yorushika,Pop,6180213390,2061024,2026-02-07 13:28:37+08:00,2026-02-07 13:32:42+08:00,98.14,807,1091,False,True,731,710,14,1.0,6,9.0,4.0,180.0,207,405,325,1,4.99609,Jump,True
"Hachigatsu, Bou, Tsukiakari",Yorushika,Rock,6180230165,2027183,2026-02-07 13:33:38+08:00,2026-02-07 13:38:10+08:00,83.9,176,1419,False,False,874,636,136,37.0,46,8.0,3.0,220.0,240,418,455,1,5.04181,Hybrid,False
Kaibutsu (TV Size),YOASOBI,Anime,6180236623,2755127,2026-02-07 13:38:45+08:00,2026-02-07 13:40:15+08:00,95.62,158,469,False,True,319,297,14,1.0,7,9.2,4.5,170.0,86,174,145,0,4.91149,Jump,True
Idol,YOASOBI,Pop,6180306338,4098827,2026-02-07 13:59:27+08:00,2026-02-07 14:03:03+08:00,94.23,598,1117,False,True,775,696,75,2.0,2,9.0,4.0,166.0,194,471,304,0,4.95835,Hybrid,False
Try Again,USAO,Electronic,6180330242,1688458,2026-02-07 14:05:41+08:00,2026-02-07 14:10:51+08:00,87.58,563,2153,False,True,1276,1025,189,11.0,51,9.3,3.8,170.0,305,637,637,2,5.73737,Jump,False
Yoru Naku Usagi wa Yume o Miru,UNDEAD CORPORATION,Video Game,6180354134,176960,2026-02-07 14:14:48+08:00,2026-02-07 14:18:34+08:00,97.75,633,1505,False,True,959,924,23,5.0,7,9.0,4.0,200.0,213,542,416,1,5.45238,Stream,True
CANDYYYLAND feat. LIZ (Pa's Lam System Remix),tofubeats,Electronic,6180368514,1418502,2026-02-07 14:19:30+08:00,2026-02-07 14:23:14+08:00,90.11,289,1485,False,True,961,812,117,6.0,26,9.0,4.0,160.0,208,504,455,2,5.43985,Tech,True
Doki-Doki,Thaehan,Electronic,6180380132,1838159,2026-02-07 14:25:14+08:00,2026-02-07 14:27:00+08:00,96.1,797,1007,False,True,618,578,39,,1,9.0,3.8,180.0,102,457,161,0,5.10202,Stream,True
Aimai Elegy,96neko,Rock,6181175874,1262472,2026-02-07 18:33:28+08:00,2026-02-07 18:36:23+08:00,90.48,146,1012,False,True,660,561,61,14.0,24,9.0,4.0,210.0,166,352,307,1,5.03957,Hybrid,False
REANIMATE,Warak,Video Game,6181218015,445177,2026-02-07 18:45:12+08:00,2026-02-07 18:47:45+08:00,91.59,203,965,False,True,638,558,57,3.0,20,9.2,5.0,174.0,149,368,270,0,5.31652,Stream,True
Say Goodbye,Krewella,Electronic,6181234782,959406,2026-02-07 18:48:26+08:00,2026-02-07 18:52:09+08:00,93.54,156,1034,False,True,753,679,48,5.0,21,9.5,4.0,180.0,199,489,260,4,5.31257,Jump,False
K.Y.A.F.A. (Kill You All Fucking Asshole),Camellia,Electronic,6181260932,1171254,2026-02-07 18:54:50+08:00,2026-02-07 18:58:51+08:00,89.42,205,1675,False,True,903,735,141,5.0,22,9.0,4.0,220.0,233,370,532,1,5.43199,Stream,False
Catch the Moment,LiSA,Anime,6181282867,1214269,2026-02-07 18:59:44+08:00,2026-02-07 19:04:24+08:00,91.68,285,1520,False,True,1063,921,108,5.0,29,9.2,4.0,190.0,260,627,432,4,5.60615,Hybrid,False
Kuchizuke Diamond,WEAVER,Anime,6181292037,808848,2026-02-07 19:05:16+08:00,2026-02-07 19:06:49+08:00,95.73,336,527,False,True,345,320,22,,3,9.0,4.0,164.0,88,219,126,0,5.51575,Jump,False
Sidetracked Day (Short Ver.),VINXIS,Electronic,6181304214,1632673,2026-02-07 19:08:04+08:00,2026-02-07 19:09:55+08:00,87.91,448,980,False,False,601,472,94,10.0,11,9.3,3.8,188.0,109,386,215,0,5.85337,Stream,False
Dynamite (Extended Mix),USAO,Video Game,6181323844,984299,2026-02-07 19:10:57+08:00,2026-02-07 19:14:56+08:00,91.98,460,1446,False,True,898,778,89,10.0,21,9.0,3.5,200.0,231,422,475,1,5.15028,Tech,False
What is Love?,TWICE,Pop,6181365617,1603791,2026-02-07 19:21:49+08:00,2026-02-07 19:25:20+08:00,91.82,191,1201,False,True,847,746,66,7.0,28,9.0,4.3,170.0,204,537,310,0,5.46015,Jump,False
Kako ni Torawarete Iru,TUYU,Pop,6181384598,2590502,2026-02-07 19:26:09+08:00,2026-02-07 19:30:00+08:00,93.97,493,1313,False,True,913,820,79,7.0,7,9.0,3.8,180.0,221,557,354,2,5.10426,Jump,False
Kyouran Hey Kids!!,THE ORAL CIGARETTES,Anime,6181393076,815857,2026-02-07 19:31:00+08:00,2026-02-07 19:32:05+08:00,82.72,68,1665,False,False,1018,206,48,3.0,24,9.3,4.0,142.0,211,406,612,0,5.77078,Stream,True
Space Invaders,Teminite & MDK,Electronic,6181421482,2114276,2026-02-07 19:33:15+08:00,2026-02-07 19:39:07+08:00,88.39,337,2007,False,True,1199,959,195,11.0,34,9.2,3.0,128.0,318,451,740,8,5.39013,Tech,True
cheatreal,t+pazolite,Electronic,6181443725,462225,2026-02-07 19:39:49+08:00,2026-02-07 19:44:26+08:00,92.76,287,1791,False,True,940,821,88,10.0,21,9.0,4.0,200.0,223,413,527,0,5.27401,Tech,False
me & u,succducc,Pop,6181460707,1498091,2026-02-07 19:45:35+08:00,2026-02-07 19:48:28+08:00,83.11,140,1220,False,True,800,584,171,13.0,32,9.2,4.0,160.0,163,440,359,1,5.34591,Tech,False
The Pressure,Stonebank,Electronic,6181485377,759638,2026-02-07 19:52:50+08:00,2026-02-07 19:54:19+08:00,93.42,294,470,False,True,296,263,28,1.0,4,9.2,4.2,170.0,80,165,129,2,5.04683,Hybrid,True
Cold Green Eyes ft. Roos Denayer,Station Earth,Electronic,6181499942,814293,2026-02-07 19:55:37+08:00,2026-02-07 19:57:45+08:00,97.89,221,562,False,True,396,384,6,,6,9.2,4.0,174.0,121,240,152,4,4.93542,Jump,True
Cold Green Eyes ft. Roos Denayer,Station Earth,Electronic,6181528629,814293,2026-02-07 20:02:21+08:00,2026-02-07 20:04:36+08:00,95.28,116,562,False,True,396,367,20,,9,9.2,4.0,174.0,121,240,152,4,4.93542,Jump,True
Routine,Silent Siren,Pop,6181549164,863037,2026-02-07 20:05:27+08:00,2026-02-07 20:09:29+08:00,93.7,243,1407,False,True,963,867,68,8.0,20,9.2,4.2,176.0,232,561,400,2,5.37869,Hybrid,False
Katayoku no Tori,Shikata Akiko,Anime,6181558195,1439489,2026-02-07 20:10:06+08:00,2026-02-07 20:11:37+08:00,88.38,151,549,False,False,353,279,54,3.0,12,9.3,4.0,220.0,89,160,193,0,5.46637,Jump,False
Burnt Rice (feat. YUNG GEMMY),Shawn Wasabi + YDG,Electronic,6181588871,1501582,2026-02-07 20:16:54+08:00,2026-02-07 20:18:38+08:00,85.71,276,750,False,False,494,321,71,4.0,21,9.2,3.8,160.0,118,272,222,0,5.53826,Tech,False
Remote Control,Saiya,Electronic,6181613700,164020,2026-02-07 20:21:58+08:00,2026-02-07 20:24:22+08:00,88.98,271,652,False,True,479,393,75,3.0,8,9.0,4.0,165.0,130,345,132,2,5.49248,Jump,False
Hanairo Biyori,Natsume Chiaki,Other,6181666964,382930,2026-02-07 20:33:17+08:00,2026-02-07 20:36:23+08:00,90.4,145,1067,False,True,772,657,84,13.0,18,9.0,4.0,182.0,168,523,247,2,5.56389,Stream,False
99.9 (TV Size),MOB CHOIR feat. sajou no hana,Anime,6181677774,1911769,2026-02-07 20:37:12+08:00,2026-02-07 20:38:46+08:00,90.12,265,581,False,True,457,390,50,8.0,9,9.1,4.0,168.0,89,340,117,0,5.20093,Jump,False
Necro Fantasia,MISATO,Video Game,6181689715,1320292,2026-02-07 20:39:40+08:00,2026-02-07 20:41:23+08:00,91.36,216,746,False,False,544,297,25,,17,9.2,4.2,175.0,136,362,180,2,5.77845,Jump,False
Rally Go Round,LiSA,Anime,6181715517,740692,2026-02-07 20:42:44+08:00,2026-02-07 20:47:07+08:00,93.64,254,1536,False,True,1111,1008,65,5.0,33,9.3,4.0,190.0,248,710,400,1,5.74763,Hybrid,True
Scarlet Rose,Lily,Electronic,6181731398,131564,2026-02-07 20:47:39+08:00,2026-02-07 20:50:42+08:00,81.52,111,1441,False,True,725,528,121,14.0,62,9.0,4.0,320.0,146,334,390,1,5.56721,Tech,False
Sound Chimera,Laur,Electronic,6181757696,1821081,2026-02-07 20:51:21+08:00,2026-02-07 20:56:24+08:00,93.92,724,1703,False,True,966,858,94,8.0,6,9.0,4.0,190.0,271,439,521,6,4.7668,Tech,True
Playing With Fire,kors k,Video Game,6181769581,2011421,2026-02-07 20:57:12+08:00,2026-02-07 20:58:59+08:00,75.43,180,669,False,True,469,292,122,21.0,34,9.4,4.0,160.0,92,294,171,4,5.83337,Hybrid,True
Bonfire,Knife Party,Electronic,6181783564,281918,2026-02-07 20:59:34+08:00,2026-02-07 21:02:00+08:00,93.94,450,648,False,True,415,368,45,,2,9.0,4.0,87.0,120,190,224,1,4.68446,Jump,True
United (L.A.O.S Remix),Our Stolen Theory,Electronic,6181813164,550235,2026-02-07 21:02:57+08:00,2026-02-07 21:08:20+08:00,90.27,333,2275,False,True,1758,1510,177,22.0,49,9.2,4.0,175.0,300,1338,416,4,6.08624,Hybrid,True
Time Bomb (feat. Veela & Boyinaband),Feint,Electronic,6186054790,263368,2026-02-08 13:14:20+08:00,2026-02-08 13:17:18+08:00,98.74,293,762,False,True,493,483,8,,2,9.0,4.0,175.0,144,240,252,1,4.60807,Hybrid,False
Neon Rainbow (ft. Anna Yvette),Rameses B,Electronic,6186062988,958661,2026-02-08 13:18:00+08:00,2026-02-08 13:20:00+08:00,96.06,180,707,False,True,571,537,27,,7,9.2,4.0,174.0,111,446,125,0,5.28098,Hybrid,False
Hype feat. Such (lapix Remix),PSYQUI,Electronic,6186079889,1744010,2026-02-08 13:20:51+08:00,2026-02-08 13:25:31+08:00,92.75,516,1903,False,True,1104,963,127,2.0,12,9.0,4.0,175.0,255,483,619,2,5.02497,Stream,False
The Island (MaxNRG Remix),Pendulum,Electronic,6186102107,149388,2026-02-08 13:27:45+08:00,2026-02-08 13:32:40+08:00,97.57,621,1449,False,True,1025,986,28,5.0,6,9.0,4.0,174.0,277,672,350,3,5.3566,Stream,False
Ooi [Game Edit],O2i3,Electronic,6186112213,786980,2026-02-08 13:33:57+08:00,2026-02-08 13:35:57+08:00,90.03,127,691,False,True,416,347,49,3.0,17,9.2,4.0,216.0,112,205,205,6,5.47755,Jump,False
Omoide Kakera,nano,Rock,6186128034,981641,2026-02-08 13:36:34+08:00,2026-02-08 13:41:07+08:00,89.69,588,1722,False,True,1157,959,150,15.0,33,9.2,4.0,200.0,258,614,542,1,6.01222,Stream,False
pensamento tipico de esquerda caviar,Maffalda,Hip Hop,6186144975,422328,2026-02-08 13:44:42+08:00,2026-02-08 13:46:42+08:00,91.08,121,535,False,True,360,315,20,2.0,23,9.0,4.0,157.1,112,208,149,3,5.8496,Jump,False
TRICKL4SH 220,Lite Show Magic,Video Game,6186152497,1308411,2026-02-08 13:47:13+08:00,2026-02-08 13:49:09+08:00,93.66,183,728,False,True,460,411,36,5.0,8,9.2,4.2,220.0,111,219,240,1,5.18353,Tech,False
TRIPLE PLAY,KASAI HARCORES,Electronic,6186166967,1477910,2026-02-08 13:50:26+08:00,2026-02-08 13:53:57+08:00,85.55,263,1770,False,False,1058,703,132,27.0,51,9.5,3.8,175.0,238,493,565,0,5.94715,Tech,True
Endless Starlight ~Inochi no Kirameki~ (OP ver.),Kanae Asaba,Video Game,6186234460,1102144,2026-02-08 14:14:27+08:00,2026-02-08 14:16:07+08:00,94.65,200,517,False,True,376,350,9,,17,9.2,4.5,181.0,91,253,123,0,5.5811,Jump,False
Silhouette,KANA-BOON,Anime,6186254133,869197,2026-02-08 14:21:05+08:00,2026-02-08 14:22:37+08:00,97.5,250,458,False,True,349,336,9,,4,9.3,4.0,183.0,87,250,99,0,5.26134,Jump,False
The Pretender,Infected Mushroom,Rock,6186301940,221777,2026-02-08 14:32:16+08:00,2026-02-08 14:38:33+08:00,96.14,409,2388,False,True,1450,1373,44,7,26,9.0,4.0,174.0,364,854,593,3,5.78374,Hybrid,True
Genryuu Kaiko,Halozy,Video Game,6186367380,174677,2026-02-08 14:54:57+08:00,2026-02-08 15:00:06+08:00,90.36,227,1725,False,True,1242,1074,108,11,49,9.0,4.0,173.0,276,884,357,1,5.76427,Jump,False
furioso melodia,gmtn. (witch's slave),Electronic,6186377561,4795841,2026-02-08 15:01:32+08:00,2026-02-08 15:03:26+08:00,72.2,99,763,False,True,529,296,170,37,26,10.0,4.0,155.0,108,329,199,1,5.55105,Stream,False
30's Swing Tek,Floxytek vs Billx,Electronic,6186394223,169271,2026-02-08 15:06:40+08:00,2026-02-08 15:08:59+08:00,95.2,477,789,False,True,559,517,33,2,7,9.0,4.0,190.0,121,390,168,1,5.40539,Hybrid,True
Namae no Nai Kaibutsu (TV Size),EGOIST,Anime,6186403863,187378,2026-02-08 15:10:41+08:00,2026-02-08 15:12:11+08:00,95.49,322,486,False,True,305,282,19,2,2,9.0,4.0,180.0,81,177,126,2,4.95109,Stream,False
Prismatic Lollipops,DJ Mashiro,Video Game,6186411249,705059,2026-02-08 15:13:08+08:00,2026-02-08 15:14:39+08:00,92.53,169,588,False,True,479,424,46,1,8,9.0,4.0,202.0,85,381,97,1,5.92593,Hybrid,False
Hatsune Miku no Shoushitsu,cosMo@BousouP feat.Hatsune Miku,Rock,6186428587,320127,2026-02-08 15:15:58+08:00,2026-02-08 15:20:22+08:00,87.49,271,1918,False,True,1104,883,165,20,36,9.2,4.0,240.0,208,584,519,1,6.02431,Stream,False
Night of Knights,beatMARIO,Video Game,6186445014,786018,2026-02-08 15:22:55+08:00,2026-02-08 15:25:50+08:00,93.58,192,1218,False,True,914,832,49,11,22,9.2,3.8,180.0,151,651,263,0,5.63019,Hybrid,False
Airplanes (Feint Remix),B.o.B feat. Hayley Williams,Electronic,6186460605,230523,2026-02-08 15:27:12+08:00,2026-02-08 15:31:04+08:00,97.26,304,1093,False,True,793,760,22,1,10,9.0,4.0,178.0,200,519,271,3,5.33226,Hybrid,False
Piranha (Maffalda Reloaded Trap Mix),Alipio Martins,Hip Hop,6186478406,652234,2026-02-08 15:32:51+08:00,2026-02-08 15:37:02+08:00,89.37,95,1279,False,True,909,781,55,5,68,9.3,4.0,171.0,216,608,298,3,6.30537,Jump,False
Monochrome Butterfly,Aitsuki Nakuru,Rock,6186487495,1095854,2026-02-08 15:38:47+08:00,2026-02-08 15:40:03+08:00,87.31,111,415,False,False,339,278,19,,34,9.5,4.0,175.0,73,264,74,1,5.85283,Jump,False
On The Way (TV Size),AiNA THE END,Pop,6186495312,5194045,2026-02-08 15:41:04+08:00,2026-02-08 15:42:37+08:00,95.02,363,505,False,True,350,320,26,1,3,9.2,4.2,186.0,87,202,148,0,5.218,Jump,True
Los! Los! Los!,Tanya Degurechaff (CV: Yuki Aoi),Anime,6186505231,1211730,2026-02-08 15:44:16+08:00,2026-02-08 15:45:49+08:00,89.01,111,647,False,True,389,320,44,7,18,9.2,4.0,240.0,88,158,229,2,5.39092,Hybrid,False
Ga1ahad and Scientific Witchery,Mili,Video Game,6186522554,1971458,2026-02-08 15:47:50+08:00,2026-02-08 15:51:30+08:00,88.54,224,1330,False,True,1018,838,159,2,19,9.1,3.8,166.0,216,768,250,0,5.70468,Stream,False
Ooedo Ranvu,Reol & nqrse,Pop,6186550590,833389,2026-02-08 15:57:58+08:00,2026-02-08 16:00:34+08:00,86.27,111,1373,False,False,811,543,112,9,42,9.6,4.2,134.0,176,260,550,1,5.86842,Hybrid,False
Get Jinxed,Agnete Kjolsrud,Video Game,6187356501,794670,2026-02-08 19:51:24+08:00,2026-02-08 19:53:43+08:00,93.1,154,649,False,True,453,408,22,2,21,9.3,4.0,180.0,117,264,189,0,5.64281,Jump,False
Hopes and Dreams,toby fox,Video Game,6187372627,817987,2026-02-08 19:54:35+08:00,2026-02-08 19:57:39+08:00,95.52,161,843,False,True,625,584,26,,15,9.0,4.0,170.68,165,408,216,1,5.13113,Jump,False
Necro Fantasia,MISATO,Video Game,6187395923,1328726,2026-02-08 20:00:52+08:00,2026-02-08 20:03:24+08:00,96.73,170,734,False,True,485,462,12,1,10,9.0,3.8,175.0,136,243,241,1,4.89455,Jump,False
"Bassdrop Freaks (2018 ""Redrop"" ver.)",Camellia feat. Nanahira,Electronic,6187787354,1701400,2026-02-08 21:27:54+08:00,2026-02-08 21:32:29+08:00,89.9,653,1917,False,True,1149,946,168,14,21,9.0,4.0,179.0,255,444,703,2,5.09048,Tech,False
Tower Of Heaven (You Are Slaves),Feint,Electronic,6188169524,847314,2026-02-08 22:45:38+08:00,2026-02-08 22:51:15+08:00,93.73,659,1292,False,True,892,803,82,1,6,9.0,4.0,175.0,155,721,170,1,5.19628,Stream,True
From Under Cover (Caught Up In A Love Song),Foreground Eclipse,Rock,6188192661,992281,2026-02-08 22:52:31+08:00,2026-02-08 22:55:51+08:00,98.71,842,1222,False,True,734,718,12,,4,9.0,4.0,200.0,175,359,371,4,4.96259,Stream,False
Feral (osu! edit),meganeko,Electronic,6188211660,2549390,2026-02-08 22:57:39+08:00,2026-02-08 22:59:35+08:00,70.23,116,1605,False,False,1120,132,89,10,10,9.2,4.0,160.0,169,832,287,1,5.9929,Tech,False
Doki-Doki,Thaehan,Electronic,6188228316,1637465,2026-02-08 23:00:58+08:00,2026-02-08 23:02:48+08:00,77.29,141,1006,False,True,782,518,201,24,39,9.3,4.0,180.0,102,640,141,1,6.06537,Stream,False
Omega Rhythm,UPLIFT SPICE,Rock,6188266385,366142,2026-02-08 23:07:26+08:00,2026-02-08 23:10:27+08:00,98.75,1017,1023,False,True,669,655,13,,1,9.0,4.0,173.0,164,401,266,2,5.20751,Stream,True
Omoide Kakera,nano,Rock,6188315284,981641,2026-02-08 23:15:48+08:00,2026-02-08 23:20:20+08:00,92.03,243,1722,False,True,1157,1010,99,15,33,9.2,4.0,200.0,258,614,542,1,6.01222,Stream,True
Tower Of Heaven (You Are Slaves),Feint,Electronic,6188336532,845391,2026-02-08 23:21:48+08:00,2026-02-08 23:24:37+08:00,85.82,151,1282,False,True,927,721,163,14,29,9.2,4.0,175.0,155,611,315,1,6.14043,Stream,False
Station,Aiyru,Electronic,6188361292,3683614,2026-02-08 23:27:31+08:00,2026-02-08 23:29:38+08:00,82.83,184,745,False,True,523,378,123,11,11,8.4,4.2,174.0,117,350,171,2,4.86639,Tech,False
Deal with the devil,Tia,Anime,6188372630,1425727,2026-02-08 23:30:13+08:00,2026-02-08 23:31:53+08:00,90.94,240,688,False,True,412,345,59,2,6,9.0,4.0,142.0,95,173,239,0,4.62836,Tech,False
Aresene's Bazaar,James Landino,Electronic,6188391200,4091822,2026-02-08 23:33:02+08:00,2026-02-08 23:35:33+08:00,81.32,80,1058,False,True,648,450,142,26,30,9.0,3.5,155.0,143,269,379,0,5.24267,Tech,True
Mopemope,LeaF,Electronic,6188404408,2293450,2026-02-08 23:36:54+08:00,2026-02-08 23:38:12+08:00,82.58,148,708,False,False,392,194,34,7,26,9.0,5.7,200.0,108,220,171,1,6.20394,Tech,False
Odo,Ado,Pop,6188424849,3031685,2026-02-08 23:38:48+08:00,2026-02-08 23:42:17+08:00,91.89,391,1292,False,True,739,642,72,5,20,9.0,5.0,128.0,205,321,417,1,4.6387,Tech,False
CANDYYYLAND feat. LIZ (Pa's Lam System Remix),tofubeats,Electronic,6188445694,1418503,2026-02-08 23:42:51+08:00,2026-02-08 23:46:22+08:00,81.54,167,1181,False,True,744,540,134,27,43,9.3,4.0,160.0,188,337,401,6,6.06101,Tech,False
United (L.A.O.S Remix),Our Stolen Theory,Electronic,6188462651,550235,2026-02-08 23:47:46+08:00,2026-02-08 23:49:43+08:00,90.42,265,2275,False,False,1758,529,52,17,17,9.2,4.0,175.0,300,1338,416,4,6.08624,Hybrid,True
Age Of Reason,Station Earth,Electronic,6188488571,943270,2026-02-08 23:53:19+08:00,2026-02-08 23:54:55+08:00,99.06,515,548,False,True,380,374,5,,1,9.0,4.0,174.0,89,220,160,0,4.84617,Jump,False
Asu no Yozora Shoukaihan,Yuaru,Rock,6188507893,853926,2026-02-08 23:55:50+08:00,2026-02-08 23:58:48+08:00,97.79,447,1133,False,True,647,625,14,1,7,9.0,4.0,185.0,159,329,318,0,4.96457,Hybrid,True
Ooi [Game Edit],O2i3,Electronic,6188520425,786867,2026-02-09 00:00:09+08:00,2026-02-09 00:01:21+08:00,85.04,153,784,False,False,532,246,48,5,20,9.4,4.0,216.0,112,351,175,6,6.27035,Hybrid,False
Additional Memory,JIN,Rock,6188526602,1775286,2026-02-09 00:02:09+08:00,2026-02-09 00:02:36+08:00,83.62,123,694,False,False,503,86,18,2,7,9.3,4.0,200.0,105,328,175,0,5.81822,Hybrid,False
